Fund Name,Target Name,FundID,Permno,NCUSIP,Gvkey,Date13D,DateCross5pct
BANDERA PARTNERS LLC,PEERLESS SYSTEMS CORP,415,83956,70553610,63640,20090505,20090501
BANDERA PARTNERS LLC,TANDY LEATHER FACTORY INC,415,79666,87538X10,28675,20110119,20110113
BANDERA PARTNERS LLC,AMBASSADORS GROUP INC,415,89321,23177108,147307,20120210,20120209
BANDERA PARTNERS LLC,"MAKEMUSIC, INC.",415,81691,56086P202,060942,20120307,20120307
BANDERA PARTNERS LLC,COLE KENNETH PRODUCTIONS INC,415,80679,193294105,030277,20120518,20120508
BBS CAPITAL MANAGEMENT LP,KONA GRILL INC,416,90865,50047H20,164290,20090617,20090615
BEDFORD OAK ADVISORS LLC,PENN TREATY AMERICAN CORP,417,11713,70787410,16986,20090724,20080919
BONANZA CAPITAL LTD,POINTS INTERNATIONAL LTD,418,12582,73084310,122777,20060808,20060808
BRIDGEHAMPTON CAPITAL MANAGEMENT LLC,KOWABUNGA! INC.,419,90608,50074710,23226,20090505,20090206
BROOKSIDE CAPITAL PARTNERS FUND LP,"STREAM GLOBAL SERVICES, INC.",420,92394,86323M20,178633,20090512,20071017
BROOKSIDE CAPITAL PARTNERS FUND LP,"PTC THERAPEUTICS, INC.",420,13967,69370C100,174134,20130703,20130625
BURLINGAME ASSET MANAGEMENT LLC,XFONE INC.,421,90778,98414Y10,147750,20100901,20100826
BURLINGAME ASSET MANAGEMENT LLC,SYCAMORE NETWORKS INC,421,87343,871206405,125360,20130211,20130201
BURLINGAME ASSET MANAGEMENT LLC,EVERLAST WORLDWIDE INC.,421,81595,30035510,31763,20070518,20070518
CAMBER CAPITAL MANAGEMENT LLC,CONCEPTUS INC,422,83123,20601610,62236,20110922,20110914
CAMBER CAPITAL MANAGEMENT LLC,CONMED CORP,422,11547,207410101,13623,20131216,20131213
CAMBER CAPITAL MANAGEMENT LLC,VOLCANO CORP,422,91371,928645100,174118,20141002,20140930
